area,capability,verdict,runtime_evidence,correctness_authority,gap_or_risk
Notification,"MAIL_RECEIVED",INTEGRATION_GAP,"MailboxService.deliver and InventoryRewardDeliveryService mutate mailbox without a durable mail-received fact","none","Recipient is known but source identity/trigger fact and copy policy are absent"
Notification,"QUEST_PROGRESS",BLOCKED_BY_EXTERNAL_AUTHORITY,"QuestTransitionEventFactory emits QUEST_PROGRESS QuestEvent","V8 can persist QuestEvent","Threshold, aggregation, noise, and copy policy are not authorized"
Notification,"LISTING_SOLD",INTEGRATION_GAP,"MarketplaceService publishes V8-backed LISTING_PURCHASED EconomyEvent","V8 outbox eventId is durable; Redis bridge is optional/disabled","Event actor is buyer and omits seller recipient; Notification cannot resolve the intended recipient from the fact alone"
Notification,"ACHIEVEMENT_UNLOCK",INTEGRATION_GAP,"PlayerAchievementService.grantAchievement persists holder only","V1 holder uniqueness","No gameplay unlock fact/content readiness; Admin grant is not an unlock source"
Notification,"SYSTEM_NOTICE",BLOCKED_BY_EXTERNAL_AUTHORITY,"NotificationType only","none","No authorized sender, audience, scheduling, copy, or privacy policy"
Economy Marketplace,"whole-entry listing open",IMPLEMENTED_NOT_RUNTIME_VERIFIED,"ListingOpenService; ListingOpenServiceTest; InventoryMarketAvailabilityApi","Inventory provider marks the whole owned entry LISTED in caller transaction; Listing active-item unique","Cross-domain open is unit-proven but has no focused MySQL source-to-Listing scenario"
Economy Marketplace,"canonical reservation authority",COMPLETE_VERIFIED,"MarketplaceService.reserve; MarketplaceReservationConcurrencyIntegrationTest","Listing lock; V27 active reservation unique; Wallet hold; Inventory trade reservation","MySQL proves reserve/cancel competition and duplicate ACTIVE rejection"
Economy Marketplace,"purchase, transfer, proceeds and Trade",REGRESSION_RISK,"MarketplaceService.purchase; MarketplaceTradeFulfillmentIntegrationTest","Single MySQL transaction, InventoryMarketTransferApi, locks and V28 snapshot","Business effect is atomic but request idempotency correctness is Redis-only and mocked in integration"
Economy Shop,"catalog, reservation and purchase records",INTEGRATION_GAP,"ShopService; EconomySagaCoordinator","ShopItem lock plus DB counts; Redis limiter is supportive/fail-open","COMPLETED purchase does not deliver Item; user idempotency is Redis-only; no shop seed"
Economy Wallet,"balance and user top-up",REGRESSION_RISK,"TopUpService; EconomyController","Wallet lock for mutation","Public top-up correctness key is Redis-only; no external payment authority/integration proof"
Platform Outbox,"transactional append, claim, retry, recovery",COMPLETE_VERIFIED,"TransactionalOutboxDomainEventPublisher; OutboxRelayScheduler; TransactionalOutboxIntegrationTest","V8 unique event_id; MySQL SKIP LOCKED; leases/retries","Actual production scheduler/queue health is external"
Platform production,"schema and runtime activation",IMPLEMENTED_NOT_RUNTIME_VERIFIED,"application-prod.yml; V1-V31 migrations","JPA validate; Flyway when explicitly enabled; outbox enabled by default","FLYWAY_ENABLED defaults false and deployed env/health is unavailable"
