domain,use_case,method,path,request_authority,response_authority,implemented,security_ownership,runtime_dependency,consumer_risk,verdict,evidence
Role,role CRUD,POST/GET/PUT/DELETE,/api/v1/roles[/{roleId}],"Current Player; expectedVersion on mutation","ApiResponse owner-scoped Role",yes,"CurrentPlayerAccessor and player_id query",MySQL V19,"Cross-owner hidden",COMPLETE_VERIFIED,"RoleController; RolePersonPersistenceIntegrationTest"
Person,person CRUD,POST/GET/PUT/DELETE,/api/v1/persons[/{personId}],"Current Player; private Person body","ApiResponse owner-scoped Person",yes,"CurrentPlayerAccessor and owner_player_id",MySQL V19,"Person remains distinct from service User",COMPLETE_VERIFIED,"PersonController; RolePersonPersistenceIntegrationTest"
Role,relations,POST/GET/PUT/DELETE,/api/v1/roles/{roleId}/relations[/{relationId}],"Current Player + owned role/person","ApiResponse relation",yes,"provider-owned ownership checks",MySQL V19,"No legacy social reinterpretation",COMPLETE_VERIFIED,"RoleRelationController; RoleRelationPersistenceIntegrationTest"
Role,events,POST/GET/PATCH/DELETE,/api/v1/roles/{roleId}/events[/{eventId}],"Current Player + owned role","ApiResponse event",yes,"role/player composite ownership",MySQL V21,"DELETE mapping here is participant removal; event cancel is POST",COMPLETE_VERIFIED,"RoleEventController; RoleEventLifeLogIntegrationTest"
Role,event lifecycle,POST,/api/v1/roles/{roleId}/events/{eventId}/{complete|cancel},"Current Player + owned event","ApiResponse event",yes,"role/player/event ownership",MySQL V21,"Does not create LifeLog automatically",COMPLETE_VERIFIED,"RoleEventService; RoleEventLifeLogIntegrationTest#neverCreatesLifeLog"
LifeLog,canonical journal,GET,/api/v1/lifelogs[/{lifeLogId}],"Current Player + filters/cursor","ApiResponse canonical projection",yes,"CurrentPlayerAccessor and owner query",MySQL V15/V22,"Legacy null metadata remains null",COMPLETE_VERIFIED,"PlayerLifeLogJournalController; LifeLogJournalQueryIntegrationTest"
LifeLog,quick record,POST,/api/v1/lifelogs/quick-record,"Current Player + required Idempotency-Key header + body","ApiResponse<Recorded>",yes,"CurrentPlayerAccessor",MySQL V9/V15/V8,"Stable production-ready command",COMPLETE_VERIFIED,"QuickRecordController; QuickRecordServiceIntegrationTest"
LifeLog,collection CRUD/search,GET/POST/DELETE,/api/v1/players/collections/**,"Current Player","ApiResponse player-owned collection",yes,"CurrentPlayerAccessor",MySQL + outbox on create,"Older path uses /players prefix",COMPLETE_VERIFIED,"PlayerCollectionController; LifeLogRecordedOutboxIntegrationTest#commitsCollectionAndFact"
LifeLog,exercise CRUD/search,GET/POST/DELETE,/api/v1/players/exercises/**,"Current Player","ApiResponse player-owned exercise",yes,"CurrentPlayerAccessor",MySQL + outbox on create,"Older path uses /players prefix",COMPLETE_VERIFIED,"PlayerExerciseController; LifeLogRecordedOutboxIntegrationTest#commitsExerciseAndFact"
LifeLog,media lifecycle,GET/POST/PATCH/DELETE,/api/v1/players/media/**,"Current Player","ApiResponse player-owned media",yes,"CurrentPlayerAccessor",MySQL + outbox on create,"Rate/advance/status DTO idempotency fields are not consumed",CONTRACT_DRIFT,"PlayerMediaLogController; PlayerMediaLogRequest.Rate/Advance/MarkStatus; LifeLogRecordedOutboxIntegrationTest"
Quest,static catalog,GET,/api/v1/quests/catalog,authenticated,"bare QuestResponse.Blueprints",yes,authenticated,"StaticQuestBlueprintCatalog in memory","Returns all 21 blueprints without persisted activation; envelope drift",BLOCKED_BY_EXTERNAL_AUTHORITY,"QuestCatalogController#catalog; QuestQueryService#getCatalog; QuestDefinitionBootstrapper"
Quest,my acceptances,GET,/api/v1/players/quests[/{questCode}],"Current Player","bare QuestResponse",yes,"CurrentPlayerAccessor",MySQL,"Response envelope differs from most APIs",CONTRACT_DRIFT,"QuestController#list/#detail; QuestQueryService"
Quest,accept,POST,/api/v1/players/quests/{questCode},"Current Player + body partyId/guildId/idempotencyKey","ApiResponse<Acceptance>",yes,"CurrentPlayerAccessor only",MySQL,"idempotencyKey discarded; party/guild membership not verified",CONTRACT_DRIFT,"QuestRequest.Accept; QuestWebMapper#toAcceptCommand; QuestService#accept"
Quest,manual check,POST,/api/v1/players/quests/{questCode}/manual-check,"Current Player","ApiResponse<Acceptance>",yes,"CurrentPlayerAccessor",MySQL/V8,"Only authorized Level 1 manual definitions",COMPLETE_VERIFIED,"QuestManualCheckService; QuestCompletionRewardTransactionalOutboxIntegrationTest#completesActualManualCheckClosedLoop"
Quest,cancel,DELETE,/api/v1/players/quests/{questCode},"Current Player + reason/idempotencyKey body","ApiResponse<Canceled>",yes,"CurrentPlayerAccessor",MySQL,"idempotencyKey discarded and reason is not persisted/used",CONTRACT_DRIFT,"QuestRequest.Cancel; QuestWebMapper#toCancelCommand; QuestService#cancel"
QuestRoute,catalog/read,GET,/api/v1/quest-routes[/{routeId}],"authenticated/current progress optional","ApiResponse<Route>",yes,"CurrentPlayerAccessor for progress",MySQL V20,"Only one seeded route; no activation status",BLOCKED_BY_EXTERNAL_AUTHORITY,"QuestRouteController; QuestRouteQueryService; V20"
QuestRoute,select/my read,POST/GET,/api/v1/quest-routes/{routeId}/select|/api/v1/quest-routes/my/**,"Current Player","ApiResponse<Route|StepDetail>",yes,"CurrentPlayerAccessor",MySQL V20,"Multiple selected routes are valid",COMPLETE_VERIFIED,"QuestRouteController; QuestRouteApplicationIntegrationTest"
QuestRoute,explicit advance,POST,/api/v1/quest-routes/my/{routeId}/advance,"Current Player + required expectedStepId","ApiResponse<Route>",yes,"CurrentPlayerAccessor + owned player route",MySQL lock/version,"No automatic advance",COMPLETE_VERIFIED,"QuestRouteAdvanceService; QuestRouteApplicationIntegrationTest#advancesExactlyOneStep"
Growth,overview/history,GET,/api/v1/players/growth,"Current Player","ApiResponse<Growth>",yes,"CurrentPlayerAccessor",MySQL V4,"Bounded/provenance-aware",COMPLETE_VERIFIED,"GrowthQueryService; GrowthQueryIntegrationTest"
Achievement,definition catalog,GET,/api/v1/achievements[/{achievementId}],authenticated,"ApiResponse definition",yes,authenticated,MySQL,"No seeded/active catalog",DB_NOT_SEEDED,"AchievementController; V1 baseline has no INSERT"
Achievement,my holders,GET,/api/v1/players/achievements[/{achievementId}],"Current Player","ApiResponse owned holder",yes,"CurrentPlayerAccessor and owned projection",MySQL,"Runtime read is proven but normal unlock source absent",CONTENT_NOT_DELIVERED,"PlayerAchievementController; AchievementProgressReadIntegrationTest"
Certification,definition and holder lifecycle,GET/POST/PATCH/DELETE,/api/v1/certifications/**|/api/v1/players/certifications/**,"Current Player for holders","ApiResponse definition/holder",yes,"CurrentPlayerAccessor",MySQL,"No seeded definitions or activation",DB_NOT_SEEDED,"CertificationController; PlayerCertificationController; V1"
Hobby,definition and holder lifecycle,GET/POST/PATCH/DELETE,/api/v1/hobbies/**|/api/v1/players/hobbies/**,"Current Player for holders","ApiResponse definition/holder",yes,"CurrentPlayerAccessor",MySQL,"No seeded definitions or activation",DB_NOT_SEEDED,"HobbyController; PlayerHobbyController; V1"
Title,definition and owned holders,GET,/api/v1/titles/**|/api/v1/players/titles,"Current Player for holders","ApiResponse definition/holder",yes,"CurrentPlayerAccessor",MySQL,"No seeded definitions or activation",DB_NOT_SEEDED,"TitleController; PlayerTitleController; V1"
Gear,equipment slot catalog,GET,/api/v1/equip-slots[/{slotId}],authenticated,"ApiResponse slot",yes,authenticated,MySQL,"Table has no seed; PlayerFacade assumes numeric IDs",DB_NOT_SEEDED,"EquipmentSlotController; V1 equipment_slots; PlayerEquipmentService#init"
Gear,my equipment,GET/PUT/DELETE,/api/v1/players/equipment[/{slotId}],"Current Player + itemInstanceId body","ApiResponse equipment/no-content",yes,"CurrentPlayerAccessor + Inventory-owned item lookup",MySQL + Inventory InternalApi,"No runtime slot/item content",DB_NOT_SEEDED,"PlayerEquipmentController; PlayerEquipmentService; InventoryEquipmentReadIntegrationTest"
Inventory,item catalog,GET,/api/v1/items[/{itemId}],authenticated,"ApiResponse Item",yes,authenticated,MySQL,"Only one quest item seeded; no active filter",BLOCKED_BY_EXTERNAL_AUTHORITY,"ItemController; V12; SeedLevel1Item"
Inventory,my inventory,GET,/api/v1/inventory[/{itemInstanceId}],"Current Player","ApiResponse owned entries",yes,"CurrentPlayerAccessor and player-scoped query",MySQL,"includeItem/includeInstanceAttrs ignored; top-level item null",CONTRACT_DRIFT,"InventoryController#getEntry; InventoryWebMapper#toEntryDetail"
Inventory,slot mutations,PATCH/DELETE,/api/v1/inventory/{move|merge|split|remove},"Current Player + slot body with optional idempotencyKey","ApiResponse slot/no-content",yes,"CurrentPlayerAccessor + locked PlayerInventory",MySQL,"All idempotencyKey fields are discarded",CONTRACT_DRIFT,"InventoryRequest; InventoryWebMapper; InventoryService"
Mailbox,my mailbox,GET,/api/v1/mailbox,"Current Player","ApiResponse owned entries",yes,"CurrentPlayerAccessor and player-scoped query",MySQL,"Container may not exist until reward delivery; no focused query integration scenario",IMPLEMENTED_NOT_RUNTIME_VERIFIED,"MailboxController#list; MailboxQueryService"
Mailbox,claim,POST,/api/v1/mailbox/claim|/api/v1/mailbox/claim/all,"Current Player + slot/quantity body","ApiResponse no-content",yes,"CurrentPlayerAccessor + mailbox/inventory locks",MySQL,"Preflight rollback proven",COMPLETE_VERIFIED,"MailboxService; MailboxClaimIntegrationTest"
Mailbox,delete,DELETE,/api/v1/mailbox,"Current Player + body slot/idempotencyKey","ApiResponse no-content",yes,"CurrentPlayerAccessor + mailbox lock",MySQL,"idempotencyKey discarded",CONTRACT_DRIFT,"MailboxRequest.Delete; MailboxWebMapper#toDeleteCommand"
Connections,canonical following/follower read,GET,/api/v1/connections/{followings|followers},"Current Player + page/size","ApiResponse enriched peer page",yes,"CurrentPlayerAccessor",MySQL + Character provider,"Ownership and missing peer fail-closed proven",COMPLETE_VERIFIED,"PlayerConnectionController; ConnectionQueryIntegrationTest"
Connections,legacy follow commands/read,GET/POST,/api/v1/follows/**,"Current Player","ApiResponse Follow",yes,"CurrentPlayerAccessor",MySQL,"Overlaps canonical /connections read model",CONTRACT_DRIFT,"PlayerFollowController; PlayerConnectionController"
DirectChat,friend channel list,GET,/api/v1/chat/channels/friends,"Current Player","ApiResponse FriendChannel list",yes,"CurrentPlayerAccessor and participant lookup",MySQL,"Query runtime proven; full source-to-message loop absent",IMPLEMENTED_NOT_RUNTIME_VERIFIED,"FriendChatQueryService; FriendChatQueryIntegrationTest"
DirectChat,open friend channel,POST,/api/v1/chat/channels/friend/{friendId},"Current Player + peer path","ApiResponse Channel",yes,"mutual active Follow verification",MySQL,"No DB concurrency/integration proof for ensure/join",IMPLEMENTED_NOT_RUNTIME_VERIFIED,"ChatService#openFriend; FriendshipVerifier; ChatServiceCurrentPlayerTest"
DirectChat,message history/send,GET/POST,/api/v1/chat/channels/{channelId}/messages,"Current Player + membership","ApiResponse page/message",yes,"channel participant membership",MySQL + synchronous Redis publish,"Redis outage behavior and receive loop not proven",IMPLEMENTED_NOT_RUNTIME_VERIFIED,"ChatService#messages/#sendMessage; ChatWriter#publish; ChatRedisRealtimeGateway"
DirectChat,STOMP send,WS,"handshake /ws; SEND /app/social/chat/{channelId}/send","authenticated handshake + Current Player message context","broadcast /topic/social/chat/{channelId}",yes,"HTTP JWT handshake and channel membership",WebSocket simple broker + Redis pub/sub,"Origin handshake is tested; authenticated message-thread identity and cross-instance delivery are not integrated",IMPLEMENTED_NOT_RUNTIME_VERIFIED,"PlayerChatWebSocketController; ChatWebSocketConfig; ChatWebSocketOriginContractTest; ChatRedisSubscription"
DirectChat,legacy global/admin/guild/party channels,POST,/api/v1/chat/channels/{global|admin|guild|party}/**,"Current Player","ApiResponse Channel",yes,"type-specific checks",MySQL/Redis,"Role Chat remains deferred; legacy Party/Guild must not be reinterpreted",DEFERRED_BY_LOCK,"PlayerChatController; AGENTS.md Role Chat/RoleParty locks"
Notification,inbox/unread,GET,/api/v1/notifications|/api/v1/notifications/unread-count,"Current Player + cursor/size","ApiResponse Page/UnreadCount",yes,"CurrentPlayerAccessor and player query",MySQL V25,"No realtime dependency",COMPLETE_VERIFIED,"NotificationController; NotificationApplicationIntegrationTest"
Notification,read one/all,POST,/api/v1/notifications/{notificationId}/read|/api/v1/notifications/read-all,"Current Player","ApiResponse no-content/count",yes,"CurrentPlayerAccessor; cross-owner hidden",MySQL V25,"Delete/clear intentionally absent",COMPLETE_VERIFIED,"NotificationReadMarker; NotificationApplicationIntegrationTest"
Economy,market listings/read,GET,/api/v1/economy/listings|/listings/me|/listings/reservations|/trades,"Current Player for owned reads","ApiResponse economy projections",yes,"CurrentPlayerAccessor on owned reads",MySQL,"Open listing read is public to authenticated users",COMPLETE_VERIFIED,"EconomyController; MarketplaceService read methods"
Economy,open listing,POST,/api/v1/economy/listings,"Current Player + whole Inventory entry","ApiResponse ListingId",yes,"CurrentPlayerAccessor + Inventory provider ownership",MySQL/V8,"No partial listing by design; cross-domain open has unit but no focused MySQL proof",IMPLEMENTED_NOT_RUNTIME_VERIFIED,"ListingOpenService; ListingOpenServiceTest; InventoryMarketAvailabilityApi"
Economy,reserve listing,POST,/api/v1/economy/listings/{listingId}/reserve,"Current Player + TTL","ApiResponse Reservation",yes,"buyer resolved server-side",MySQL locks + V27 + Wallet hold,"DB concurrency proven",COMPLETE_VERIFIED,"MarketplaceService#reserve; MarketplaceReservationConcurrencyIntegrationTest"
Economy,purchase listing,POST,/api/v1/economy/listings/{listingId}/purchase,"Current Player + token + body idempotencyKey","ApiResponse Trade",yes,"buyer resolved server-side",MySQL transaction plus Redis key,"Atomic effect proven; durable request idempotency absent",REGRESSION_RISK,"MarketplaceService#purchase; RedisIdempotencyKeyStore; MarketplaceTradeFulfillmentIntegrationTest"
Economy,cancel listing,DELETE,/api/v1/economy/listings/{listingId},"Current Player seller","ApiResponse no-content",yes,"seller equality + Listing lock",MySQL,"Reserved listing cancel conflicts",COMPLETE_VERIFIED,"MarketplaceService#cancel; MarketplaceReservationConcurrencyIntegrationTest"
Economy,shop read,GET,/api/v1/economy/shop/items|/shop/purchases,"Current Player for purchases","ApiResponse Shop projections",yes,"player-scoped purchase query",MySQL,"No shop seed",DB_NOT_SEEDED,"EconomyController; V1 shop_items has no INSERT"
Economy,shop purchase/confirm,POST,/api/v1/economy/shop/purchase|/shop/reservations/confirm,"Current Player + body key/token","ApiResponse purchase/reservation",yes,"player ownership on confirm",MySQL + Redis limiter/key,"Funds can commit without Item fulfillment",INTEGRATION_GAP,"ShopService; EconomySagaCoordinator"
Economy,wallet/top-up,GET/POST,/api/v1/economy/wallet|/top-up,"Current Player + payment-looking body","ApiResponse balance/no-content",yes,"CurrentPlayerAccessor",MySQL + Redis key,"No payment provider; Redis-only duplicate safety",REGRESSION_RISK,"TopUpService; RedisIdempotencyKeyStore"
