domain,controller,operation,http_method,path,request_type,response_type,classification,frontend_exposure,notes
character,AdminTitleController,update,PATCH,/admin/v1/titles/{titleId},AdminTitleRequest.Update,AdminTitleResponse.Info,SUPPORTED_COMMAND,ALLOW,TitleService
character,AdminTitleController,delete,DELETE,/admin/v1/titles/{titleId},-,AdminTitleResponse.Deleted,SUPPORTED_COMMAND,ALLOW,TitleService
economy,AdminEconomyController,listShopItems,GET,/admin/v1/economy/shop/items,-,AdminEconomyResponse.ShopItems,SUPPORTED_READ,ALLOW,ShopService
economy,AdminEconomyController,createShopItem,POST,/admin/v1/economy/shop/items,AdminEconomyRequest.CreateShopItem,AdminEconomyResponse.ShopItem,SUPPORTED_COMMAND,ALLOW,ShopService
economy,AdminEconomyController,updateShopItem,PATCH,/admin/v1/economy/shop/items/{shopItemId},AdminEconomyRequest.UpdateShopItem,AdminEconomyResponse.ShopItem,SUPPORTED_COMMAND,ALLOW,ShopService
economy,AdminEconomyController,toggleShopItem,PATCH,/admin/v1/economy/shop/items/{shopItemId}/availability,AdminEconomyRequest.ToggleShopItem,Void,SUPPORTED_COMMAND,ALLOW,ShopService
economy,AdminEconomyController,listShopPurchases,GET,/admin/v1/economy/shop/purchases,-,AdminEconomyResponse.ShopPurchases,SUPPORTED_READ,ALLOW,ShopService
economy,AdminEconomyController,adjustWallet,POST,/admin/v1/economy/wallets/{playerId}/adjust,AdminEconomyRequest.AdjustWallet,AdminEconomyResponse.WalletBalance,SUPPORTED_COMMAND,ALLOW,TopUpService
inventory,AdminInventoryController,addToInventory,POST,/admin/v1/players/{playerId}/inventory/add,AdminInventoryRequest.Add,AdminInventoryResponse.Slots,SUPPORTED_COMMAND,ALLOW,InventoryService
inventory,AdminItemController,create,POST,/admin/v1/items,AdminItemRequest.Create,AdminItemResponse.Id,SUPPORTED_COMMAND,ALLOW,ItemService
inventory,AdminItemController,update,PUT,/admin/v1/items/{itemId},AdminItemRequest.Update,AdminItemResponse.Id,SUPPORTED_COMMAND,ALLOW,ItemService
inventory,AdminItemController,delete,DELETE,/admin/v1/items/{itemId},-,AdminItemResponse.Deleted,SUPPORTED_COMMAND,ALLOW,ItemService
inventory,AdminMailboxController,deliverToMailbox,POST,/admin/v1/players/{playerId}/mailbox/deliver,AdminMailboxRequest.Deliver,AdminMailboxResponse.Slot,SUPPORTED_COMMAND,ALLOW,MailboxService
lifelog,AdminCollectionController,recent,GET,/admin/v1/players/{playerId}/collections/recent,query limit,List<AdminCollectionResponse.Info>,DEFERRED_PRIVATE,DEFER,CollectionLogQueryService private player data
lifelog,AdminCollectionController,search,GET,/admin/v1/players/{playerId}/collections/search,query category titleLike page size,List<AdminCollectionResponse.Info>,DEFERRED_PRIVATE,DEFER,CollectionLogQueryService private player data
lifelog,AdminCollectionController,create,POST,/admin/v1/players/{playerId}/collections,AdminCollectionRequest.Create,AdminCollectionResponse.Created,DEFERRED_PRIVATE,DEFER,CollectionLogService private player data
lifelog,AdminCollectionController,update,POST,/admin/v1/players/{playerId}/collections/{collectionId},AdminCollectionRequest.Update,AdminCollectionResponse.Info,DEFERRED_PRIVATE,DEFER,CollectionLogService private player data
lifelog,AdminCollectionController,get,GET,/admin/v1/players/{playerId}/collections/{collectionId},-,AdminCollectionResponse.Info,DEFERRED_PRIVATE,DEFER,CollectionLogQueryService private player data
lifelog,AdminCollectionController,delete,DELETE,/admin/v1/players/{playerId}/collections/{collectionId},-,AdminCollectionResponse.Deleted,DEFERRED_PRIVATE,DEFER,CollectionLogService private player data
lifelog,AdminExerciseController,recent,GET,/admin/v1/players/{playerId}/exercises/recent,query limit,List<AdminExerciseResponse.Info>,DEFERRED_PRIVATE,DEFER,ExerciseLogQueryService private player data
lifelog,AdminExerciseController,search,GET,/admin/v1/players/{playerId}/exercises/search,query category from to page size,List<AdminExerciseResponse.Info>,DEFERRED_PRIVATE,DEFER,ExerciseLogQueryService private player data
lifelog,AdminExerciseController,create,POST,/admin/v1/players/{playerId}/exercises,AdminExerciseRequest.Create,AdminExerciseResponse.Created,DEFERRED_PRIVATE,DEFER,ExerciseLogService private player data
lifelog,AdminExerciseController,update,POST,/admin/v1/players/{playerId}/exercises/{exerciseId},AdminExerciseRequest.Update,AdminExerciseResponse.Info,DEFERRED_PRIVATE,DEFER,ExerciseLogService private player data
lifelog,AdminExerciseController,get,GET,/admin/v1/players/{playerId}/exercises/{exerciseId},-,AdminExerciseResponse.Info,DEFERRED_PRIVATE,DEFER,ExerciseLogQueryService private player data
lifelog,AdminExerciseController,delete,DELETE,/admin/v1/players/{playerId}/exercises/{exerciseId},-,AdminExerciseResponse.Deleted,DEFERRED_PRIVATE,DEFER,ExerciseLogService private player data
lifelog,AdminMediaController,recent,GET,/admin/v1/players/{playerId}/media/recent,query limit,List<AdminMediaResponse.Info>,DEFERRED_PRIVATE,DEFER,MediaLogQueryService private player data
lifelog,AdminMediaController,search,GET,/admin/v1/players/{playerId}/media/search,query category status titleLike page size,List<AdminMediaResponse.Info>,DEFERRED_PRIVATE,DEFER,MediaLogQueryService private player data
lifelog,AdminMediaController,create,POST,/admin/v1/players/{playerId}/media,AdminMediaRequest.Create,AdminMediaResponse.Created,DEFERRED_PRIVATE,DEFER,MediaLogService private player data
lifelog,AdminMediaController,rate,POST,/admin/v1/players/{playerId}/media/{mediaId}/rate,AdminMediaRequest.Rate,AdminMediaResponse.Info,DEFERRED_PRIVATE,DEFER,MediaLogService private player data
lifelog,AdminMediaController,advance,POST,/admin/v1/players/{playerId}/media/{mediaId}/advance,AdminMediaRequest.Advance,AdminMediaResponse.Info,DEFERRED_PRIVATE,DEFER,MediaLogService private player data
lifelog,AdminMediaController,markStatus,POST,/admin/v1/players/{playerId}/media/{mediaId}/status,AdminMediaRequest.MarkStatus,AdminMediaResponse.Info,DEFERRED_PRIVATE,DEFER,MediaLogService private player data
lifelog,AdminMediaController,rewatch,POST,/admin/v1/players/{playerId}/media/{mediaId}/rewatch,-,AdminMediaResponse.Info,DEFERRED_PRIVATE,DEFER,MediaLogService private player data
lifelog,AdminMediaController,get,GET,/admin/v1/players/{playerId}/media/{mediaId},-,AdminMediaResponse.Info,DEFERRED_PRIVATE,DEFER,MediaLogQueryService private player data
lifelog,AdminMediaController,delete,DELETE,/admin/v1/players/{playerId}/media/{mediaId},-,AdminMediaResponse.Deleted,DEFERRED_PRIVATE,DEFER,MediaLogService private player data
quest,AdminQuestController,catalog,GET,/admin/v1/quests/catalog,-,AdminQuestResponse.Blueprints,SUPPORTED_READ,ALLOW,QuestQueryService raw response
quest,AdminQuestController,definitions,GET,/admin/v1/quests/definitions,-,AdminQuestResponse.Definitions,SUPPORTED_READ,ALLOW,QuestQueryService raw response
quest,AdminQuestController,ensure,POST,/admin/v1/quests/definitions,AdminQuestRequest.Ensure,AdminQuestResponse.Definition,SUPPORTED_COMMAND,ALLOW,QuestService raw response
quest,AdminQuestController,definition,GET,/admin/v1/quests/definitions/{questCode},-,AdminQuestResponse.Definition,SUPPORTED_READ,ALLOW,QuestQueryService raw response
quest,AdminQuestController,update,PATCH,/admin/v1/quests/definitions/{questCode},AdminQuestRequest.Update,AdminQuestResponse.Definition,SUPPORTED_COMMAND,ALLOW,QuestService raw response
quest,AdminQuestController,acceptances,GET,/admin/v1/quests/{questCode}/acceptances,query status,AdminQuestResponse.Acceptances,SUPPORTED_READ,ALLOW,QuestQueryService raw response
quest,AdminQuestController,acceptance,GET,/admin/v1/quests/acceptances/{acceptanceId},-,AdminQuestResponse.Acceptance,SUPPORTED_READ,ALLOW,QuestQueryService raw response
quest,AdminQuestController,adjustProgress,PATCH,/admin/v1/quests/acceptances/{acceptanceId}/progress,AdminQuestRequest.AdjustProgress,AdminQuestResponse.Acceptance,SUPPORTED_COMMAND,ALLOW,QuestService
quest,AdminQuestController,changeStatus,PATCH,/admin/v1/quests/acceptances/{acceptanceId}/status,AdminQuestRequest.ChangeStatus,AdminQuestResponse.Acceptance,SUPPORTED_COMMAND,ALLOW,QuestService
social,AdminChatController,channels,GET,/admin/v1/operators/{operatorId}/chat/channels,-,AdminChatResponse.ChannelGroup,DEFERRED_PRIVATE,DEFER,ChatService direct chat privacy
social,AdminChatController,openAdmin,POST,/admin/v1/operators/{operatorId}/chat/channels/player/{playerId},AdminChatRequest.OpenAdmin,AdminChatResponse.Channel,DEFERRED_PRIVATE,DEFER,ChatService direct chat privacy
social,AdminChatController,messages,GET,/admin/v1/operators/{operatorId}/chat/channels/{channelId}/messages,query cursor size,AdminChatResponse.MessagePage,DEFERRED_PRIVATE,DEFER,ChatService direct chat privacy
social,AdminChatController,sendMessage,POST,/admin/v1/operators/{operatorId}/chat/channels/{channelId}/messages,AdminChatRequest.SendMessage,AdminChatResponse.Message,DEFERRED_PRIVATE,DEFER,ChatService direct chat privacy
social,AdminFollowController,followings,GET,/admin/v1/players/{playerId}/follows/followings,query page size,AdminFollowResponse.Page<Summary>,SUPPORTED_READ,ALLOW,FollowService
social,AdminFollowController,followers,GET,/admin/v1/players/{playerId}/follows/followers,query page size,AdminFollowResponse.Page<Summary>,SUPPORTED_READ,ALLOW,FollowService
social,AdminFollowController,follow,POST,/admin/v1/players/{playerId}/follows,AdminFollowRequest.Create,Void,SUPPORTED_COMMAND,ALLOW,FollowService
social,AdminFollowController,unfollow,POST,/admin/v1/players/{playerId}/follows/{followId}/unfollow,-,Void,SUPPORTED_COMMAND,ALLOW,FollowService
social,AdminFollowController,mute,POST,/admin/v1/players/{playerId}/follows/{followId}/mute,-,Void,SUPPORTED_COMMAND,ALLOW,FollowService
social,AdminFollowController,unmute,POST,/admin/v1/players/{playerId}/follows/{followId}/unmute,-,Void,SUPPORTED_COMMAND,ALLOW,FollowService
social,AdminFollowController,block,POST,/admin/v1/players/{playerId}/follows/{followId}/block,-,Void,SUPPORTED_COMMAND,ALLOW,FollowService
social,AdminFollowController,unblock,POST,/admin/v1/players/{playerId}/follows/{followId}/unblock,-,Void,SUPPORTED_COMMAND,ALLOW,FollowService
social,AdminFollowController,recent,GET,/admin/v1/players/{playerId}/follows/recent,query type limit,List<AdminFollowResponse.Summary>,SUPPORTED_READ,ALLOW,FollowService
social,AdminGuildController,search,GET,/admin/v1/guilds/search,query keyword visibility page size,AdminGuildResponse.Page<Summary>,LEGACY,LEGACY_ONLY,GuildService maintenance only
social,AdminGuildController,recent,GET,/admin/v1/guilds/recent,query limit,List<AdminGuildResponse.Summary>,LEGACY,LEGACY_ONLY,GuildService maintenance only
social,AdminGuildController,getGuildInfo,GET,/admin/v1/players/{playerId}/guilds/{guildId},-,AdminGuildResponse.Info,LEGACY,LEGACY_ONLY,GuildService maintenance only
social,AdminGuildController,create,POST,/admin/v1/players/{playerId}/guilds,AdminGuildRequest.Create,AdminGuildResponse.Detail,LEGACY,LEGACY_ONLY,GuildService no expansion
social,AdminGuildController,rename,POST,/admin/v1/players/{playerId}/guilds/{guildId}/rename,AdminGuildRequest.Rename,AdminGuildResponse.Detail,LEGACY,LEGACY_ONLY,GuildService no expansion
social,AdminGuildController,changePolicy,POST,/admin/v1/players/{playerId}/guilds/{guildId}/policy,AdminGuildRequest.ChangePolicy,AdminGuildResponse.Detail,LEGACY,LEGACY_ONLY,GuildService no expansion
social,AdminGuildController,changeDescription,POST,/admin/v1/players/{playerId}/guilds/{guildId}/description,AdminGuildRequest.ChangeDescription,AdminGuildResponse.Detail,LEGACY,LEGACY_ONLY,GuildService no expansion
social,AdminGuildController,changeEmblem,POST,/admin/v1/players/{playerId}/guilds/{guildId}/emblem,AdminGuildRequest.ChangeEmblem,AdminGuildResponse.Detail,LEGACY,LEGACY_ONLY,GuildService no expansion
social,AdminGuildController,addTag,POST,/admin/v1/players/{playerId}/guilds/{guildId}/tags/add,AdminGuildRequest.TagOp,AdminGuildResponse.Detail,LEGACY,LEGACY_ONLY,GuildService no expansion
social,AdminGuildController,removeTag,POST,/admin/v1/players/{playerId}/guilds/{guildId}/tags/remove,AdminGuildRequest.TagOp,AdminGuildResponse.Detail,LEGACY,LEGACY_ONLY,GuildService no expansion
social,AdminGuildController,requestJoin,POST,/admin/v1/players/{playerId}/guilds/{guildId}/request-join,AdminGuildRequest.RequestJoin,Void,LEGACY,LEGACY_ONLY,GuildService no expansion
social,AdminGuildController,cancelJoin,POST,/admin/v1/players/{playerId}/guilds/{guildId}/cancel-join,-,Void,LEGACY,LEGACY_ONLY,GuildService no expansion
social,AdminGuildController,approve,POST,/admin/v1/players/{playerId}/guilds/{guildId}/approve,AdminGuildRequest.Approve,Void,LEGACY,LEGACY_ONLY,GuildService no expansion
social,AdminGuildController,reject,POST,/admin/v1/players/{playerId}/guilds/{guildId}/reject,AdminGuildRequest.Reject,Void,LEGACY,LEGACY_ONLY,GuildService no expansion
social,AdminGuildController,invite,POST,/admin/v1/players/{playerId}/guilds/{guildId}/invite,AdminGuildRequest.Invite,Void,LEGACY,LEGACY_ONLY,GuildService no expansion
social,AdminGuildController,acceptInvitation,POST,/admin/v1/players/{playerId}/guilds/{guildId}/accept-invitation,-,Void,LEGACY,LEGACY_ONLY,GuildService no expansion
social,AdminGuildController,declineInvitation,POST,/admin/v1/players/{playerId}/guilds/{guildId}/decline-invitation,-,Void,LEGACY,LEGACY_ONLY,GuildService no expansion
social,AdminGuildController,transferLeader,POST,/admin/v1/players/{playerId}/guilds/{guildId}/transfer-leader,AdminGuildRequest.TransferLeader,Void,LEGACY,LEGACY_ONLY,GuildService no expansion
social,AdminGuildController,kick,POST,/admin/v1/players/{playerId}/guilds/{guildId}/kick,AdminGuildRequest.Kick,Void,LEGACY,LEGACY_ONLY,GuildService no expansion
social,AdminGuildController,promote,POST,/admin/v1/players/{playerId}/guilds/{guildId}/promote,AdminGuildRequest.MemberOp,Void,LEGACY,LEGACY_ONLY,GuildService no expansion
social,AdminGuildController,demote,POST,/admin/v1/players/{playerId}/guilds/{guildId}/demote,AdminGuildRequest.MemberOp,Void,LEGACY,LEGACY_ONLY,GuildService no expansion
social,AdminGuildController,leave,POST,/admin/v1/players/{playerId}/guilds/{guildId}/leave,-,Void,LEGACY,LEGACY_ONLY,GuildService no expansion
social,AdminGuildController,disband,POST,/admin/v1/players/{playerId}/guilds/{guildId}/disband,-,Void,LEGACY,LEGACY_ONLY,GuildService no expansion
social,AdminPartyController,search,GET,/admin/v1/parties/search,query keyword visibility page size,AdminPartyResponse.Page<Summary>,LEGACY,LEGACY_ONLY,PartyService maintenance only
social,AdminPartyController,recent,GET,/admin/v1/parties/recent,query limit,List<AdminPartyResponse.Summary>,LEGACY,LEGACY_ONLY,PartyService maintenance only
social,AdminPartyController,getPartyInfo,GET,/admin/v1/players/{playerId}/parties/{partyId},-,AdminPartyResponse.Info,LEGACY,LEGACY_ONLY,PartyService maintenance only
social,AdminPartyController,create,POST,/admin/v1/players/{playerId}/parties,AdminPartyRequest.Create,AdminPartyResponse.Detail,LEGACY,LEGACY_ONLY,PartyService no expansion
social,AdminPartyController,rename,POST,/admin/v1/players/{playerId}/parties/{partyId}/rename,AdminPartyRequest.Rename,AdminPartyResponse.Detail,LEGACY,LEGACY_ONLY,PartyService no expansion
social,AdminPartyController,changePolicy,POST,/admin/v1/players/{playerId}/parties/{partyId}/policy,AdminPartyRequest.ChangePolicy,AdminPartyResponse.Detail,LEGACY,LEGACY_ONLY,PartyService no expansion
social,AdminPartyController,changeDescription,POST,/admin/v1/players/{playerId}/parties/{partyId}/description,AdminPartyRequest.ChangeDescription,AdminPartyResponse.Detail,LEGACY,LEGACY_ONLY,PartyService no expansion
social,AdminPartyController,changeEmblem,POST,/admin/v1/players/{playerId}/parties/{partyId}/emblem,AdminPartyRequest.ChangeEmblem,AdminPartyResponse.Detail,LEGACY,LEGACY_ONLY,PartyService no expansion
social,AdminPartyController,addTag,POST,/admin/v1/players/{playerId}/parties/{partyId}/tags/add,AdminPartyRequest.TagOp,AdminPartyResponse.Detail,LEGACY,LEGACY_ONLY,PartyService no expansion
social,AdminPartyController,removeTag,POST,/admin/v1/players/{playerId}/parties/{partyId}/tags/remove,AdminPartyRequest.TagOp,AdminPartyResponse.Detail,LEGACY,LEGACY_ONLY,PartyService no expansion
social,AdminPartyController,requestJoin,POST,/admin/v1/players/{playerId}/parties/{partyId}/request-join,AdminPartyRequest.RequestJoin,Void,LEGACY,LEGACY_ONLY,PartyService no expansion
social,AdminPartyController,cancelJoin,POST,/admin/v1/players/{playerId}/parties/{partyId}/cancel-join,-,Void,LEGACY,LEGACY_ONLY,PartyService no expansion
social,AdminPartyController,approve,POST,/admin/v1/players/{playerId}/parties/{partyId}/approve,AdminPartyRequest.Approve,Void,LEGACY,LEGACY_ONLY,PartyService no expansion
social,AdminPartyController,reject,POST,/admin/v1/players/{playerId}/parties/{partyId}/reject,AdminPartyRequest.Reject,Void,LEGACY,LEGACY_ONLY,PartyService no expansion
social,AdminPartyController,invite,POST,/admin/v1/players/{playerId}/parties/{partyId}/invite,AdminPartyRequest.Invite,Void,LEGACY,LEGACY_ONLY,PartyService no expansion
social,AdminPartyController,acceptInvitation,POST,/admin/v1/players/{playerId}/parties/{partyId}/accept-invitation,-,Void,LEGACY,LEGACY_ONLY,PartyService no expansion
social,AdminPartyController,declineInvitation,POST,/admin/v1/players/{playerId}/parties/{partyId}/decline-invitation,-,Void,LEGACY,LEGACY_ONLY,PartyService no expansion
social,AdminPartyController,transferLeader,POST,/admin/v1/players/{playerId}/parties/{partyId}/transfer-leader,AdminPartyRequest.TransferLeader,Void,LEGACY,LEGACY_ONLY,PartyService no expansion
social,AdminPartyController,kick,POST,/admin/v1/players/{playerId}/parties/{partyId}/kick,AdminPartyRequest.Kick,Void,LEGACY,LEGACY_ONLY,PartyService no expansion
social,AdminPartyController,promote,POST,/admin/v1/players/{playerId}/parties/{partyId}/promote,AdminPartyRequest.MemberOp,Void,LEGACY,LEGACY_ONLY,PartyService no expansion
social,AdminPartyController,demote,POST,/admin/v1/players/{playerId}/parties/{partyId}/demote,AdminPartyRequest.MemberOp,Void,LEGACY,LEGACY_ONLY,PartyService no expansion
social,AdminPartyController,leave,POST,/admin/v1/players/{playerId}/parties/{partyId}/leave,-,Void,LEGACY,LEGACY_ONLY,PartyService no expansion
social,AdminPartyController,disband,POST,/admin/v1/players/{playerId}/parties/{partyId}/disband,-,Void,LEGACY,LEGACY_ONLY,PartyService no expansion
user,AdminUserController,search,GET,/admin/v1/users,query email nickname status page size,AdminUserResponse.UserList,SUPPORTED_READ,ALLOW,UserQueryService
user,AdminUserController,get,-,-,path userId,AdminUserResponse.UserInfo,IMPLEMENTATION_GAP,GATE,Unmapped and mapper returns placeholder null fields
user,AdminUserController,changeStatus,-,-,AdminUserRequest.ChangeStatus,AdminUserResponse.StatusChanged,GATED_HIGH_RISK,GATE,Unmapped until Audit reason idempotency and stale semantics
user,AdminUserController,forceChangeNickname,-,-,AdminUserRequest.ForceChangeNickname,AdminUserResponse.NicknameChanged,GATED_HIGH_RISK,GATE,Unmapped until Audit reason idempotency and stale semantics
user,AdminUserSettingController,updateSettings,-,-,AdminUserSettingRequest.UpdateSettings,AdminUserSettingResponse.Settings,IMPLEMENTATION_GAP,DEFER,Unmapped private settings surface
